PC,RES_CNT_High,NRP_CNT_High,UNC_CNT_High,TOT_CNT_High,RES_CNT_Medium,NRP_CNT_Medium,UNC_CNT_Medium,TOT_CNT_Medium,RES_CNT_Low,NRP_CNT_Low,UNC_CNT_Low,TOT_CNT_Low,RES_CNT_VeryLow,NRP_CNT_VeryLow,UNC_CNT_VeryLow,TOT_CNT_VeryLow,SORTOFF,DISTRICT,SECTOR,UNIT
TW1 1DX,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,TW,1,1,DX
CO10 1XR,1,0,4,5,2,0,2,4,1,1,2,4,0,0,0,0,CO,10,1,XR
YO13 0RF,2,2,0,4,1,0,0,1,1,0,0,1,2,0,0,2,YO,13,0,RF
NE24 2ET,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,12,NE,24,2,ET
TA3 5NQ,0,0,4,4,0,0,0,0,0,0,2,2,0,0,0,0,TA,3,5,NQ
BS49 5EB,0,0,0,0,4,0,2,6,2,0,1,3,0,0,0,0,BS,49,5,EB
HR2 8NZ,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,HR,2,8,NZ
E15 3DS,0,0,0,0,0,0,0,0,0,0,0,0,52,1,0,53,E,15,3,DS
TS24 0RH,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,TS,24,0,RH
BH24 1ER,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,BH,24,1,ER
WA16 7QQ,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,WA,16,7,QQ
PR2 5AU,0,6,0,6,0,0,1,1,1,0,5,6,0,0,0,0,PR,2,5,AU
LN1 1PR,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,LN,1,1,PR
E1W 1UE,0,0,0,0,0,0,0,0,22,0,0,22,0,0,0,0,E,1W,1,UE
TN12 5EQ,0,0,0,0,0,0,0,0,5,0,0,5,15,0,1,16,TN,12,5,EQ
W4 2RF,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,W,4,2,RF
CR0 4UB,0,0,0,0,0,0,0,0,28,1,0,29,0,0,0,0,CR,0,4,UB
TQ12 2RX,0,0,1,1,0,0,0,0,0,28,1,29,0,4,1,5,TQ,12,2,RX
PE11 1XP,0,0,0,0,12,1,3,16,0,0,0,0,0,0,0,0,PE,11,1,XP
BD12 7HT,4,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,BD,12,7,HT
HD5 0AN,0,0,0,0,0,0,0,0,7,7,0,14,3,1,0,4,HD,5,0,AN
GL2 2RG,0,0,0,0,0,0,0,0,4,0,0,4,0,0,0,0,GL,2,2,RG
NG13 0BD,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,NG,13,0,BD
PO21 2PY,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,9,PO,21,2,PY
EX6 7EE,0,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,EX,6,7,EE
EX20 3QG,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,EX,20,3,QG
TA22 9PR,0,0,2,2,2,0,0,2,0,0,0,0,0,0,0,0,TA,22,9,PR
LN12 2BB,9,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,LN,12,2,BB
BN23 5PB,0,0,0,0,0,0,0,0,34,0,0,34,0,0,0,0,BN,23,5,PB
RG7 4JF,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,RG,7,4,JF
WF13 1QH,0,0,0,0,0,0,0,0,0,4,0,4,0,2,0,2,WF,13,1,QH
WF15 6JQ,3,0,0,3,2,6,0,8,0,0,0,0,0,0,0,0,WF,15,6,JQ
BB5 0BA,0,0,0,0,0,0,0,0,15,0,0,15,0,0,0,0,BB,5,0,BA
HU19 2HB,0,0,0,0,0,0,0,0,0,2,0,2,7,23,2,32,HU,19,2,HB
DN35 8SE,0,3,0,3,0,0,0,0,0,1,0,1,0,0,0,0,DN,35,8,SE
HU12 8LY,0,0,0,0,0,0,0,0,3,0,0,3,20,0,0,20,HU,12,8,LY
NE65 0UU,0,1,0,1,0,0,0,0,2,2,0,4,0,0,0,0,NE,65,0,UU
WV5 8BU,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,WV,5,8,BU
TN29 0HD,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,65,TN,29,0,HD
LN12 2HP,58,0,0,58,7,0,0,7,5,0,0,5,3,0,0,3,LN,12,2,HP
NW10 8TZ,0,0,0,0,25,0,0,25,12,0,0,12,0,0,0,0,NW,10,8,TZ
NE66 2SD,9,1,0,10,1,0,0,1,1,1,0,2,0,0,0,0,NE,66,2,SD
TQ9 5XA,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,TQ,9,5,XA
PR9 8FQ,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,PR,9,8,FQ
PE12 6TP,0,0,0,0,0,0,0,0,29,0,0,29,0,0,0,0,PE,12,6,TP
SE17 2GF,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,80,SE,17,2,GF
GU12 5SJ,0,0,0,0,0,0,0,0,19,0,0,19,0,0,0,0,GU,12,5,SJ
NG34 0LD,1,0,1,2,6,0,5,11,2,0,5,7,0,0,0,0,NG,34,0,LD
BS13 0AN,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,BS,13,0,AN
SL6 1YY,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,SL,6,1,YY
TW15 3NL,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,TW,15,3,NL
DN14 9RY,0,0,0,0,9,0,0,9,0,0,0,0,0,0,0,0,DN,14,9,RY
BS23 4QN,0,0,0,0,0,0,0,0,18,0,0,18,0,0,0,0,BS,23,4,QN
TN25 6AF,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,TN,25,6,AF
PE21 0JY,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,0,PE,21,0,JY
N17 8HH,0,0,0,0,0,0,0,0,13,7,0,20,0,0,0,0,N,17,8,HH
BN7 2HQ,0,0,0,0,0,0,0,0,12,0,0,12,0,0,0,0,BN,7,2,HQ
PE1 5XN,0,9,2,11,0,7,0,7,0,5,0,5,0,1,0,1,PE,1,5,XN
YO8 5AE,0,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,YO,8,5,AE
ST7 2UB,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,ST,7,2,UB
RM17 6SB,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,51,RM,17,6,SB
CT12 4DA,0,0,0,0,0,0,0,0,0,0,0,0,8,1,1,10,CT,12,4,DA
KT7 0XR,0,0,0,0,0,0,0,0,31,2,0,33,0,0,0,0,KT,7,0,XR
SM6 7AZ,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,SM,6,7,AZ
E17 5AJ,0,0,0,0,0,0,0,0,16,1,0,17,0,0,0,0,E,17,5,AJ
E14 8GR,0,0,0,0,0,0,0,0,0,0,0,0,20,1,0,21,E,14,8,GR
